Bairro	Populacao
ALVARO WEYNE	23690
AMADEU FURTADO	11703
ANCURI	20070
ANTONIO BEZERRA	25846
MOURA BRASIL	3765
AUTRAN NUNES	21208
BARRA DO CEARA	72423
BARROSO	29847
BELA VISTA	16754
BENFICA	12954
BOA VISTA	12247
BOM FUTURO	6405
BOM JARDIM	37758
BONSUCESSO	41198
CAIS DO PORTO	22382
CAJAZEIRAS	14478
CAMBEBA	7625
CANINDEZINHO	41202
CARLITO PAMPLONA	29076
CENTRO	28538
CIDADE 2000	8272
CIDADE DOS FUNCIONARIOS	18256
COACU	7188
COCO	20492
CONJUNTO CEARA I	19221
CONJUNTO CEARA II	23673
CONJUNTO ESPERANÇA	16405
CONJUNTO PALMEIRAS	36599
COUTO FERNANDES	5260
CRISTO REDENTOR	26717
CURIO	7636
DAMAS	10719
DE LOURDES	3370
DEMOCRITO ROCHA	10994
DENDE	5637
DIAS MACÊDO	12111
DIONISIO TORRES	15634
DOM LUSTOSA	13147
EDSON QUEIROZ	22210
FARIAS BRITO	12063
FATIMA	23309
FLORESTA	28896
GENIBAU	40336
GRANJA LISBOA	52042
GRANJA PORTUGAL	39651
GUAJERU	6668
GUARARAPES	5266
HENRIQUE JORGE	26994
ITAOCA	12477
ITAPERI	22563
JACARECANGA	14204
JANGURUSSU	50479
JARDIM AMERICA	12264
JARDIM CEARENSE	10103
JARDIM DAS OLIVEIRAS	29571
JARDIM GUANABARA	14919
JARDIM IRACEMA	23184
JOAO XXIII	18398
JOAQUIM TAVORA	23450
JOQUEI CLUBE	19331
JOSE BONIFACIO	8848
JOSE DE ALENCAR	16003
LAGOA REDONDA	27949
ENG LUCIANO CAVALCANTE	15543
MANOEL SATIRO	37952
MANUEL DIAS BRANCO	1447
MARAPONGA	10155
MEIRELES	36982
MESSEJANA	41689
MONDUBIM	76044
MONTE CASTELO	13215
MONTESE	25970
MUCURIPE	13747
NOVO MONDUBIM	0
OLAVO OLIVEIRA	0
PADRE ANDRADE	12936
PANAMERICANO	8815
PAPICU	18370
PARANGABA	30947
PARQUE ARAXA	6715
PARQUE DOIS IRMAOS	27236
PARQUE IRACEMA	8409
PARQUE MANIBURA	7529
PARQUE PRESIDENTE VARGAS	7192
PARQUE SANTA MARIA	0
PARQUE SANTA ROSA	12790
PARQUE SAO JOSE	10486
PARQUELANDIA	14432
PARREAO	11072
PASSARE	50940
PAUPINA	14665
PEDRAS	1342
PICI	42494
PIRAMBU	17775
PLANALTO AYRTON SENNA	39446
PRAIA DE IRACEMA	3130
PRAIA DO FUTURO I	6630
PRAIA DO FUTURO II	11957
PREFEITO JOSE VALTER	33427
PRESIDENTE KENNEDY	23004
QUINTINO CUNHA	47277
RODOLFO TEOFILO	19114
SABIAGUABA	2117
SALINAS	4298
SAO BENTO	11964
SAO GERARDO	14505
SAO JOAO DO TAUAPE	27598
SAPIRANGA COITE	32158
SERRINHA	28770
SIQUEIRA	33628
VARJOTA	8421
VILA ELLERY	7863
VILA PERY	20645
VILA UNIÃO	15378
VILA VELHA	61617
VICENTE PINZON	45518
